Cohort_and_panel,Target,Task_type,Figure_primary_metric,ROC_AUC_or_Pearson_r_demo_mean_sd,ROC_AUC_or_Pearson_r_embeddings_mean_sd,R2_demo_mean_sd,R2_embeddings_mean_sd,F1_demo_mean_sd,F1_embeddings_mean_sd,p_combined_vs_demo,BH_FDR_q,N_positive_over_N_participants_baseline,Significance_stars_demo_vs_emb
HPP sleep cohort — current measures,Liver elasticity (US),regression,Pearson r,0.21 ± 0.00,0.32 ± 0.00,-0.11 ± 0.00,0.09 ± 0.00,,,0.000131082,0.000492855,4625,***
HPP sleep cohort — current measures,Fractal dimension (FI),regression,Pearson r,0.23 ± 0.01,0.31 ± 0.00,-0.11 ± 0.00,0.08 ± 0.00,,,0.00017271,0.00053845,3260,***
HPP sleep cohort — current measures,WBC (BT),regression,Pearson r,0.16 ± 0.01,0.28 ± 0.00,-0.12 ± 0.02,0.07 ± 0.00,,,0.00196734,0.00274393,4531,**
HPP sleep cohort — current measures,Albumin (BT),regression,Pearson r,0.19 ± 0.01,0.28 ± 0.01,-0.14 ± 0.01,0.05 ± 0.00,,,0.00082605,0.0015636,2655,***
HPP sleep cohort — current measures,AST\GOT (BT),regression,Pearson r,0.18 ± 0.00,0.27 ± 0.00,-0.12 ± 0.01,0.05 ± 0.00,,,0.000290226,0.000699181,3119,***
HPP sleep cohort — current measures,GGT (BT),regression,Pearson r,0.17 ± 0.01,0.27 ± 0.01,-0.11 ± 0.02,0.04 ± 0.01,,,0.00325078,0.00390524,1317,**
HPP sleep cohort — current measures,Platelet count (BT),regression,Pearson r,0.15 ± 0.01,0.25 ± 0.00,-0.13 ± 0.01,0.05 ± 0.00,,,0.000286522,0.000699181,4417,***
HPP sleep cohort — current measures,Vessel density (FI),regression,Pearson r,0.14 ± 0.01,0.23 ± 0.00,-0.19 ± 0.01,0.03 ± 0.00,,,0.000746892,0.00146612,3260,***
HPP sleep cohort — current measures,Saturated Fat,regression,Pearson r,0.14 ± 0.01,0.23 ± 0.00,-0.15 ± 0.01,0.04 ± 0.00,,,0.000152561,0.000505357,5106,***
HPP sleep cohort — current measures,Rem Latency,regression,Pearson r,0.03 ± 0.01,0.23 ± 0.01,-0.21 ± 0.04,0.04 ± 0.00,,,0.00624871,0.00704642,5156,**
HPP sleep cohort — current measures,Daily Fiber,regression,Pearson r,0.14 ± 0.01,0.22 ± 0.00,-0.17 ± 0.01,0.03 ± 0.00,,,0.00114769,0.00189898,5106,**
HPP sleep cohort — current measures,Total Sleep Time (SM),regression,Pearson r,0.03 ± 0.00,0.20 ± 0.01,-0.25 ± 0.01,0.02 ± 0.01,,,0.000426237,0.000903622,5169,***
HPP sleep cohort — current measures,Total cholesterol (BT),regression,Pearson r,0.14 ± 0.01,0.20 ± 0.00,-0.16 ± 0.03,0.00 ± 0.00,,,0.00649756,0.00717439,3460,**
HPP sleep cohort — current measures,eGFR (BT),regression,Pearson r,0.10 ± 0.01,0.19 ± 0.01,-0.24 ± 0.01,-0.00 ± 0.01,,,0.000305554,0.000704102,3945,***
HPP sleep cohort — current measures,Liver attenuation (US),regression,Pearson r,0.11 ± 0.01,0.19 ± 0.01,-0.19 ± 0.01,0.02 ± 0.00,,,0.000289122,0.000699181,4611,***
HPP sleep cohort — current measures,Average width (FI),regression,Pearson r,0.14 ± 0.01,0.19 ± 0.00,-0.13 ± 0.02,-0.01 ± 0.00,,,0.0055779,0.00642671,3260,**
HPP sleep cohort — current measures,Median daily protein caloric intake  (DL),regression,Pearson r,0.10 ± 0.00,0.18 ± 0.01,-0.15 ± 0.02,0.01 ± 0.00,,,0.00331577,0.00390524,5106,**
HPP sleep cohort — current measures,Liver viscosity (US),regression,Pearson r,0.13 ± 0.00,0.17 ± 0.00,-0.18 ± 0.00,-0.02 ± 0.00,,,1.43e-05,0.000160079,4628,***
